Year;Month;Anas_acuta;Anas_clypeata;Anas_crecca;Anas_penelope;Anas_platyrhynchos;Anas_strepera;Anser_anser;Aythya_ferina;Netta_rufina;Tadorna_tadorna
1977;12;;;;;;;;;;
1978;1;11115;22800;51120;38920;11620;2082;42684;5535;3670;1570
1978;12;7840;20455;62570;62255;22085;866;40698;378;2310;2216
1979;1;21210;27335;126200;111275;11430;1660;68180;300;12445;2992
1979;12;1719;36755;61200;56200;24452;4360;55019;3;5550;385
1980;1;6425;29075;65750;47860;21505;2285;69210;0;2430;716
1980;12;880;22270;42100;26890;15190;1030;40584;0;10;1650
1981;1;10;7250;4550;10950;6800;700;54680;0;20;4460
1981;12;500;8000;40300;9425;5710;50;43555;0;60;1130
1982;1;1760;27770;16200;42872;1646;260;38610;1395;5370;1495
1982;12;37120;24020;48450;41860;5647;690;59592;600;570;390
1983;1;12610;41240;90320;28020;3460;1040;60937;700;7000;175
1983;12;8720;51300;61200;68220;340;2230;76297;4990;3800;1350
1984;1;;;;;;;;;;
1984;12;20150;40700;62900;62400;7002;2430;72972;10963;8560;552
1985;1;39800;85500;74050;113910;3032;8700;67225;15610;3040;690
1985;12;6070;22150;41600;26150;20151;1720;81684;350;3482;2052
1986;1;10320;35500;61700;32600;5490;2010;58332;6500;14840;2347
1986;12;4900;36070;45550;24300;11593;3690;64475;2030;5470;60
1987;1;22420;40220;50600;79100;7110;1350;47831;4300;8680;1798
1987;12;4200;15500;18100;38120;520;1070;45840;3350;11720;1453
1988;1;4030;30950;48800;38520;2360;2770;39150;6730;10230;3205
1988;12;21050;53200;141520;37400;16625;4360;70450;7800;22420;2950
1989;1;17600;81510;159110;100400;11252;7950;71191;2065;54760;5296
1989;12;;;;;;;;;;
1990;1;15640;43750;51200;26570;4080;4530;35255;2630;27930;1490
1990;12;6800;25460;48900;58600;9700;1900;35060;400;4750;1812
1991;1;5900;51270;88250;36320;10240;1840;39957;1030;9200;1770
1991;12;37520;107250;183600;96100;16620;8100;61764;2300;20910;296
1992;1;33100;106050;115250;97800;9410;5620;56930;4350;25400;1998
1992;12;2600;75430;40500;22450;6300;520;50623;2850;3590;537
1993;1;810;4150;4060;10870;5080;53;46745;400;2620;2060
1993;12;3924;28580;41400;24930;1722;6850;53240;410;3630;865
1994;1;1920;19070;15000;33920;1185;4630;46121;1690;800;725
1994;12;110;8100;9480;19050;5820;620;65481;20;580;190
1995;1;;;;;;;;;;
1995;12;450;7770;3300;500;1650;40;57288;260;98;852
1996;1;3370;13128;6116;34660;180;1765;21263;530;2295;425
1996;12;;;;;;;;;;
1997;1;43990;34533;910;63802;3442;2950;34153;5055;3112;522
1997;12;1235;26140;9180;1085;13348;1230;18928;3174;13139;70
1998;1;4307;20823;1415;3820;6147;140;18288;1030;5310;2
1998;12;9370;30310;21590;5610;6860;3720;28881;4450;5900;1700
1999;1;3930;15450;7670;1080;8060;2;48065;2980;2150;850
1999;12;;;;;;;;;;
2000;1;3960;17270;18570;5720;6346;20;39980;770;6354;340
2000;12;5160;30060;27340;350;11567;640;22277;645;665;199
2001;1;3736;21010;11060;12040;3060;1510;29615;1840;3157;225
2001;12;5311;35910;13310;15760;6489;860;47870;640;2105;245
2002;1;5450;15639;8555;18270;815;80;66302;940;2130;365
2002;12;6550;25110;27440;19925;5380;320;52081;760;8950;704
2003;1;12770;51370;12050;11750;3062;1300;37017;795;9080;1127
2003;12;13350;37900;33010;15870;11755;1150;71440;90;11292;60
2004;1;6570;50440;4850;22210;2200;5190;30239;2315;10263;0
2004;12;74100;58900;23760;37340;10355;1760;47320;300;7815;450
2005;1;23650;18180;9500;12975;3780;290;59000;520;3110;953
2005;12;4800;21085;1955;5050;1944;10;34998;100;3120;1070
2006;1;300;16437;14290;4110;562;50;42719;50;4650;1188
2006;12;56800;88315;18400;13575;1650;930;42065;595;19100;1454
2007;1;80030;143080;17350;19500;7590;800;50440;840;15085;2600
2007;12;31050;51670;41020;6300;19530;875;61658;360;3115;270
2008;1;49350;92560;31750;46500;14125;1585;80980;1215;13215;985
2008;12;35610;69615;22540;5200;5815;35;80507;394;5135;250
2009;1;33500;109725;11660;1000;10250;0;71425;300;12995;370
2009;12;25200;38220;18750;17000;5955;260;34815;610;2310;423
2010;1;2989;14380;1200;7550;1220;170;37650;1294;1499;52
2010;12;9550;39120;20850;8620;3703;660;45280;815;10090;2920
2011;1;35425;39220;25970;33710;3142;2552;49935;1385;8574;9737
2011;12;66760;81050;24210;5750;4185;250;16627;1495;7020;241
2012;1;33200;53670;6830;720;8806;62;21610;1085;3778;545
2012;12;57450;116695;31840;11500;5670;500;68190;925;8185;1655
2013;1;44275;116575;30785;8300;5320;100;63530;1365;11400;2325
2013;12;58660;121590;30560;14250;9880;10;53532;0;375;1725
