Period;Year;Flood;SAOD
Pre-Volcano;1978;10.84;0.008
Pre-Volcano;1979;9.868;0.013
Pre-Volcano;1980;8.748;0.013
Pre-Volcano;1981;8.442;0.005
Pre-Volcano;1982;9.481;0.005
Pre-Volcano;1983;9.599;0.098
Pre-Volcano;1984;10.47;0.096
Pre-Volcano;1985;10.65;0.045
Pre-Volcano;1986;9.814;0.016
Pre-Volcano;1987;10.14;0.016
Pre-Volcano;1988;10.97;0.012
Pre-Volcano;1989;10.2;0.01
Pre-Volcano;1990;10.99;0.008
Pre-Volcano;1991;9.365;0.007
Transient;1992;10.13;0.139
Transient;1993;9.31;0.149
Transient;1994;9.517;0.074
Transient;1995;8.703;0.029
Post-Volcano;1996;10.68;0.012
Post-Volcano;1997;10.91;0.007
Post-Volcano;1998;10.67;0.006
Post-Volcano;1999;9.631;0.004
Post-Volcano;2000;10.21;0.002
Post-Volcano;2001;10.71;0.002
Post-Volcano;2002;10.39;0.002
Post-Volcano;2003;10.46;0.003
Post-Volcano;2004;10.61;0.003
Post-Volcano;2005;8.984;0.003
Post-Volcano;2006;9.643;0.004
Post-Volcano;2007;10.62;0.005
Post-Volcano;2008;10.25;0.005
Post-Volcano;2009;10.29;0.005
Post-Volcano;2010;10.57;0.006
Post-Volcano;2011;10.5;0.004
Post-Volcano;2012;9.996;0.007
Post-Volcano;2013;10.38;0.005
